Release,Date
0.49,4/23/1997
0.6,12/5/1997
0.65.1,10/7/1999
1,2/29/2000
1.4,12/19/2001
2,10/4/2004
2.1,4/18/2005
2.11,4/22/2010
2.13,4/14/2011
2.14,10/31/2011
2.15,3/30/2012
3,4/3/2013
3.1,4/10/2014
3.2,4/16/2015
